symbol,name
IGI,IGI Prudential Insurance Limited
IHL,Ingwa Hydropower Ltd
ILBS,Infinity Laghubitta Bittiya Sanstha Limited
ILI,IME Life Insurance Company Limited
JBBL,Jyoti Bikash Bank Limited
JBLB,Jeevan Bikas Laghubitta Bittiya Sanstha Limited
JBLBP,Jeevan Bikas Laghubitta Bittya Sanstha Ltd Promoter
JFL,Janaki Finance Company Limited
JHAPA,Jhapa Energy Limited
JOSHI,Joshi Hydropower Development Company Limited
JSLBB,Janautthan Samudayic Laghubitta Bittiya Sanstha Limited
KAHL,Kalanga Hydro Limited
KBL,Kumari Bank Limited
KBLD89,11% KBL Debenture 2089
KBSH,Kutheli Bukhari Small Hydropower Limited
KDBY,Kumari Dhanabriddhi Yojana
KDL,Kalinchowk Darshan Limited
KEF,Kumari Equity Fund
KHPL,Kalinchowk Hydropower Limited
KKHC,Khani Khola Hydropower Company Limited
KMCDB,Kalika Laghubitta Bittiya Sanstha Limited
KPCL,Kalika Power Company Limited
KSBBL,Kamana Sewa Bikas Bank Limited
KSY,Kumari Sabal Yojana
LBBL,Lumbini Bikas Bank Limited
LBBLD89,11% LBBL Debenture 2089
LEC,Liberty Energy Company Limited
LICN,Life Insurance Corporation Nepal Limited
LLBS,Laxmi Laghubitta Bittiya Sanstha Limited
LSH12,LS Horizon 12
LSL,Laxmi Sunrise Bank Limited
LUK,Laxmi Unnati Kosh
LVF2,II
MABEL,Mabilung Energy Limited
MAKAR,Makar Jitumaya Suri Hydropower Company Limited
MANDU,Mandu Hydropower Limited
MATRI,Matribhumi Laghubitta Bittiya Sanstha Limited
MBJC,Madhya Bhotekoshi Jalavidyut Company Limited
MBL,Machhapuchchhre Bank Limited
MBLD2085,10.25% Machhapuchchhre Debenture 2085
MBLEF,MBL Equity Fund
MCHL,Menchhiyam Hydropower Limited
MDB,Miteri Development Bank Limited
MEHL,Manakamana Engineering Hydropower Limited
MEL,Modi Energy Limited
MEN,Mountain Energy Nepal Limited
MERO,Mero Microfinance Laghubitta Bittiya Sanstha Limited
MFIL,Manjushree Finance Limited
MHCL,Molung Hydropower Company Limited
MHL,Mandakini Hydropower Limited
MHNL,Mountain Hydro Nepal Limited
MKCL,Muktinath Krishi Company Limited
MKHC,Maya Khola Hydropower Company Limited
MKHL,Mai Khola Hydropower Limited
MKJC,Mailung Khola Jal Vidhyut Company Limited
MLBBL,Mithila Laghubitta Bittiya Sanstha Limited
MLBL,Mahalaxmi Bikas Bank Limited
MLBLD89,11% Mahalaxmi Debenture 2089
MLBLPO,Mahalaxmi Bikas Bank Ltd. Promotor Share
MLBS,Manushi Laghubitta Bittiya Sanstha Limited
MLBSL,Mahila Laghubitta Bittiya Sanstha Limited
MMF1,1
MMKJL,Mathillo Mailun Khola Jalvidhyut Limited
MNBBL,Muktinath Bikas Bank Limited
MNMF1,Muktinath Mutual Fund 1
MPFL,Multipurpose Finance Company Limited
MSHL,Mid Solu Hydropower Company Limited
MSLB,Mahuli Laghubitta Bittiya Sanstha Limited
NABBC,Narayani Development Bank Limited
NABIL,Nabil Bank Limited
NABILD2089,7% Nabil Debenture 2089
NADEP,NADEP Laghubitta Bittiya Sanstha Limited
NBF2,2
NBF3,Nabil Balanced Fund III
NBL,Nepal Bank Limited
NBLD82,10% Nabil Bank Debenture 2082
NBLD87,8.5% Nepal Bank Debenture 2087
NESDO,Nesdo Sambridha Laghubitta Bittiya Sanstha Limited
NFS,Nepal Finance Limited
NGPL,Ngadi Group Power Limited
NHDL,Nepal Hydro Developer Limited
NHPC,National Hydro Power Company Limited
NIBD84,8.5% Nepal Investment Bank Bond 2084
NIBLGF,NIBL Growth Fund
NIBLSTF,NIBL Stable Fund
NIBSF2,2
NICA,NIC Asia Bank Limited
NICAD2091,7% NIC Asia Debenture 2091
NICBF,NIC ASIA Balanced Fund
NICFC,NIC Asia Flexi Cap Fund
NICGF2,NIC Asia Growth Fund 2
NICL,Nepal Insurance Company Limited
NICLBSL,NIC Asia Laghubitta Bittiya Sanstha Limited
NICSF,30
NIFRA,Nepal Infrastructure Bank Limited
NIFRAGED,6% Nifra Harit Urja Debenture 2088/89
NIL,Neco Insurance Limited
NIMB,Nepal Investment Mega Bank Limited
NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share
NLG,NLG Insurance Company Limited
NLIC,Nepal Life Insurance Company Limited
NLICL,National Life Insurance Company Limited
NMB,NMB Bank Limited
NMB50,NMB 50
NMBHF2,II
NMBMF,NMB Laghubitta Bittiya Sanstha Limited
NMFBS,National Laghubitta Bittiya Sanstha Limited
NMIC,Nepal Micro Insurance Company Limited
NMLBBL,Nerude Mirmire Laghubitta Bittiya Sanstha Limited
NRIC,Nepal Reinsurance Company Limited
NRM,Nepal Republic Media Limited
NRN,NRN Infrastructure and Development Limited
NSIF2,II
NSY,Nepal Life Samriddhi Lagani Yojana
NTC,Nepal Doorsanchar Company Limited
NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited
NWCL,Nepal Warehousing Company Limited
NYADI,Nyadi Hydropower Limited
OHL,Oriental Hotel Limited
OMPL,Om Megashree Pharmaceuticals Limited
PBD84,10.15% Prime Debenture 2084
PBD88,10% Prime Debenture 2088
PBLD84,10% Prabhu Bank Debenture 2084 (PBLD84)
PBLD87,8.5% Prabhu Bank Debenture 2087
PCBL,Prime Commercial Bank Limited
PCIL,Palpa Cements Industries Limited
PFL,Pokhara Finance Limited
PHCL,Peoples Hydropower Company Limited
PMHPL,Panchakanya Mai Hydropower Limited
PMLI,Prabhu Mahalaxmi Life Insurance Company Limited
PPCL,Panchthar Power Company Limited
PPL,People's Power Limited
PRIN,Prabhu Insurance Company Limited
PROFL,Progressive Finance Limited
PRSF,Prabhu Smart Fund
PRVU,Prabhu Bank Limited
PSF,Prabhu Select Fund
PURE,Pure Energy Limited
RADHI,Radhi Bidyut Company Limited
RAWA,Rawa Energy Development Ltd.
RBBD2088,7% RBBL Debenture 2088
RBBD83,8.5% RBBL Debenture 2083
RBBF40,RBB Focus 40
RBCL,Rastriya Beema Company Limited
RBCLPO,Rastriya Beema Company Limited Promoter Share
RFPL,River Falls Power Limited
RHGCL,Rapti Hydro & General Construction Limited
RHPL,Rasuwagadhi Hydropower Company Limited
RIDI,Ridi Power Company Limited
RLEL,Ridge Line Energy Limited
RLFL,Reliance Finance Limited
RMF1,RBB Mutual Fund 1
RMF2,RBB Mutual Fund 2
RNLI,Reliable Nepal Life Insurance Limited
RSDC,RSDC Laghubitta Bittiya Sanstha Limited
RSML,Reliance Spinning Mills Limited
RSY,Reliable Samriddhi Yojana
RURU,Ru Ru Jalbidhyut Pariyojana Limited
SABBL,Salapa Bikas Bank Limited
SADBL,Shangrila Development Bank Limited
SAEF2,Sanima Equity Fund II
SAGAR,Sagar Distillery Limited
SAGF,Sanima Growth Fund
SAHAS,Sahas Urja Limited
SAIL,Shreenagar Agritech Industries Limited
SALICO,Sagarmatha Lumbini Insurance Company Limited
SANIMA,Sanima Bank Limited
SANVI,Sanvi Energy Limited
SAPDBL,Saptakoshi Development Bank Limited
SARBTM,Sarbottam Cement Limited
SBCF,Sunrise Bluechip Fund
SBI,Nepal SBI Bank Limited
SBIBD86,10% Nepal SBI Bank Debenture 2086
SBID83,10.25% Nepal SBI Bank Debenture 2083
SBID89,9% Nepal SBI Bank Debenture 2089
SBL,Siddhartha Bank Limited
SBLD2091,7.25% SBL Debenture 2091
SCB,Standard Chartered Bank Nepal Limited
SDBD87,"9% Shangrila Development Bank Debenture, 2087"
SEF,Siddhartha Equity Fund
SEF2,Siddhartha Equity Fund 2
SFCL,Samriddhi Finance Company Limited (former World Merchant Banking)
SFEF,Sunrise Focused Equity Fund
SFMF,Sunrise First Mutual Fund
SGHC,Ganga Hydropower & Construction Limited
SGHL,Sanigad Hydro Limited
SGIC,Sanima GIC Insurance Limited
SHEL,Singati Hydro Energy Limited
SHINE,Shine Resunga Development Bank Limited
SHINED,Shine Resunga Debenture
SHIVM,Shivam Cements Limited
SHL,Soaltee Hotel Limited
SHLB,Shrijanshil Laghubitta Bittiya Sanstha Limited
SHPC,Sanima Mai Hydropower Limited
SICL,Shikhar Insurance Company Limited
SIFC,Shree Investment Finance Company Limited
SIGS2,2
SIGS3,Siddhartha Investment Growth Scheme 3
SIKLES,Sikles Hydropower Limited
SIL,Siddhartha Insurance Limited
SINDU,Sindhu Bikas Bank Limited
SIPD,Shikhar Power Development Limited
SJCL,Sanjen Jalavidhyut Company Limited
SJLIC,SuryaJyoti Life Insurance Company Limited
SKBBL,Sana Kisan Bikas Laghubitta Bittiya Sanstha Limited
SKHEL,Suryakunda Hydro Electric Limited
SKHL,Super Khudi Hydropower Limited
SLBBL,Swarojgar Laghubitta Bittiya Sanstha Limited
SLBSL,Samudayik Laghubitta Bittiya Sanstha Limited
SLCF,Sanima Large Cap Fund
SMATA,Samata Gharelu Laghubitta Bittiya Sanstha Limited
SMB,Support Laghubitta Bittiya Sanstha Limited
SMFBS,Swabhimaan Laghubitta Bittiya Sanstha Limited
SMH,Supermai Hydropower Limited
SMHL,Super Madi Hydropower Limited
SMJC,Sagarmatha Jalbidhyut Company Limited
SMPDA,Sampada Laghubitta Bittiya Sanstha Limited
SNLI,Sun Nepal Life Insurance Company Limited
SNORL,Snow Rivers Limited
SOHL,Solu Hydropower Limited
SONA,Sonapur Minerals and Oil Limited
SOPL,Sopan Pharmaceuticals Limited
SPC,Samling Power Company Limited
SPDL,Synergy Power Development Limited
SPHL,Sayapatri Hydropower Limited
SPIL,Siddhartha Premier Insurance Limited
SPL,Shuvam Power Limited
SRLI,Sanima Reliance Life Insurance Limited
SSHL,Shiva Shree Hydropower Limited
STC,Salt Trading Corporation Limited
SWASTIK,Swastik Laghubitta Bittiya Sanstha Limited
SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited
SWMF,Suryodaya Womi Laghubitta Bittiya Sanstha Limited
SYPNL,SY Panel Nepal Limited
TAMOR,Sanima Middle Tamor Hydropower Limited
TPC,Terhathum Power Company Limited
TPKHL,Taksar Pikhuwa Khola Hydropower Limited
TRH,Taragaon Regency Hotel Limited
TSHL,Three Star Hydropower Limited
TTL,Trade Tower Limited
TVCL,Trishuli Jal Vidhyut Company Limited
UAIL,United Ajod Insurance Limited
UHEWA,Upper Hewakhola Hydropower Company Limited
ULBSL,Upakar Laghubitta Bittiya Sanstha Limited
ULHC,Upper Lohore Khola Hydropower Company Limited
UMHL,United Modi Hydropower Limited
UMRH,Mardi and R.B. Hydropower Limited
UNHPL,Union Hydropower Limited
UNL,Unilever Nepal Limited
UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited
UPCL,Universal Power Company Limited
UPPER,Upper Tamakoshi Hydropower Limited
USHEC,Upper Solu Hydro Electric Company Limited
USHL,Upper Syange Hydropower Limited
USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited
VLBS,Vijaya Laghubitta Bittiya Sanstha Limited
VLUCL,Vision Lumbini Urja Company Limited
WNLB,Wean Nepal Laghubitta Bittiya Sanstha Limited
YMHL,Yambaling Hydropower Limited
